top - 23:39:04 up 2 days,  7:00,  2 users,  load average: 0.00, 0.01, 0.00
Tasks: 157 total,   1 running, 156 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  3.1 sy,  0.0 ni, 96.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    916.9 total,    304.1 free,    286.4 used,    326.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    539.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-ACPI:Ged
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-ACPI:Ged
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.81 kworker/1:1H-kblockd
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u5:0
    274 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-ACPI:Event
    275 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-ACPI:Event
    760 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-buf/nvme0n1
    762 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-conv/nvme0n
    763 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-reclaim/nvm
    764 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-blockgc/nvm
    767 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-inodegc/nvm
    768 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-log/nvme0n1
    769 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-cil/nvme0n1
    770 root      20   0       0      0      0 S   0.0   0.0   1:10.27 xfsaild/nvme0n1p1
    820 root      20   0  113136  34828  33656 S   0.0   3.7   0:13.21 systemd-journal
   1238 root      20   0   35376   8560   4440 S   0.0   0.9   0:00.07 systemd-udevd
   1260 systemd+  20   0   26480  12272   7412 S   0.0   1.3   0:00.11 systemd-resolve
   1262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
   1263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
   1264 root      16  -4   22628   1984   1280 S   0.0   0.2   0:00.51 auditd
   1284 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ena
   1391 root      20   0   18392   3832   2996 S   0.0   0.4   0:00.00 systemd-inhibit
   1394 root      20   0   81880   2212   1972 S   0.0   0.2   0:11.19 irqbalance
   1395 libstor+  20   0    2884   1604   1448 S   0.0   0.2   0:00.60 lsmd
   1398 root      20   0   18872   5104   4152 S   0.0   0.5   0:00.02 systemd-homed
   1399 root      20   0   22060   8056   4376 S   0.0   0.9   0:04.12 systemd-logind
   1400 dbus      20   0    9420   2540   1944 S   0.0   0.3   0:00.02 dbus-broker-lau
   1401 systemd+  20   0  238936   6616   5360 S   0.0   0.7   0:00.40 systemd-network
   1408 dbus      20   0    5680   2172   1724 S   0.0   0.2   0:06.93 dbus-broker
   1426 root      20   0    2388    524    436 S   0.0   0.1   0:00.00 acpid
   1429 root      20   0  284792   2556   1708 S   0.0   0.3   0:02.55 gssproxy
   1568 root      20   0    5532   1624   1448 S   0.0   0.2   0:00.01 atd
   1569 root      20   0  221068    452    364 S   0.0   0.0   0:00.00 agetty
   1570 root      20   0  221112    396    312 S   0.0   0.0   0:00.00 agetty
   1591 chrony    20   0   87712   2724   2044 S   0.0   0.3   0:05.21 chronyd
  21667 root      20   0   40172   8956   6540 S   0.0   1.0   0:13.28 httpd
  21681 root      20   0  406432  19576  14112 S   0.0   2.1   0:12.61 php-fpm
  21825 apache    20   0  406432   7448   1980 S   0.0   0.8   0:00.00 php-fpm
  21826 apache    20   0  406432   7448   1980 S   0.0   0.8   0:00.00 php-fpm
  21827 apache    20   0  406432  12400   6696 S   0.0   1.3   0:00.00 php-fpm
  21828 apache    20   0  406432   7448   1980 S   0.0   0.8   0:00.00 php-fpm
  21829 apache    20   0  406432   7448   1980 S   0.0   0.8   0:00.00 php-fpm
  21871 apache    20   0   39828   4520   2100 S   0.0   0.5   0:00.00 httpd
  21874 apache    20   0 1569724   7620   4552 S   0.0   0.8   1:06.25 httpd
  21876 apache    20   0 1734588   6912   3928 S   0.0   0.7   1:08.38 httpd
  21904 apache    20   0 1569724   6928   3944 S   0.0   0.7   1:06.07 httpd
  23934 apache    20   0 1569724   6932   3948 S   0.0   0.7   1:06.77 httpd
  23990 apache    20   0  406432   7452   1980 S   0.0   0.8   0:00.00 php-fpm
  30603 root      20   0 1846532  17392   8564 S   0.0   1.9   0:10.03 amazon-ssm-agen
  30647 root      20   0 2235840  25408  13328 S   0.0   2.7   0:48.29 ssm-agent-worke
  30813 root      20   0   18392   4020   3184 S   0.0   0.4   0:00.79 systemd-userdbd
  31133 root      20   0   16636   5904   4752 S   0.0   0.6   0:00.01 sshd
 177399 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/u4:2-events_unbound
 181261 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/1:2-mm_percpu_wq
 181412 root      20   0 1926432  19832  10360 S   0.0   2.1   0:02.18 ssm-session-wor
 181433 ssm-user  20   0  223260   2668   2240 S   0.0   0.3   0:00.00 sh
 181434 ssm-user  20   0  224052   3640   2308 S   0.0   0.4   0:00.01 bash
 181453 root      20   0  239860   4392   3116 S   0.0   0.5   0:00.04 sudo
 181456 root      20   0   24424   9908   6372 S   0.0   1.1   0:00.12 systemd
 181458 root      20   0  180684   7652      0 S   0.0   0.8   0:00.00 (sd-pam)
 181465 root      20   0  239860   1276      0 S   0.0   0.1   0:00.00 sudo
 181466 root      20   0  230104   2608   2128 S   0.0   0.3   0:00.01 su
 181467 root      20   0  224224   4004   2528 S   0.0   0.4   0:00.03 bash
 181472 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:1-inet_frag_wq
 181752 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u4:1-events_unbound
 181801 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/0:2-mm_percpu_wq
 182166 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/1:1-events_power_efficient
 182221 root      20   0   19352   7064   6128 S   0.0   0.8   0:00.00 systemd-userwor
 182222 root      20   0   19176   7064   6140 S   0.0   0.8   0:00.00 systemd-userwor
 182277 root      20   0   19352   7068   6140 S   0.0   0.8   0:00.00 systemd-userwor
 182279 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:0-events_unbound
 182280 root      20   0 1850588  21744  10432 S   0.0   2.3   0:00.41 ssm-session-wor
 182295 ssm-user  20   0  223260   3536   3104 S   0.0   0.4   0:00.00 sh
 182296 ssm-user  20   0  224052   4536   3212 S   0.0   0.5   0:00.01 bash
 182315 root      20   0  239860   7280   6004 S   0.0   0.8   0:00.02 sudo
 182317 root      20   0  239860   1276      0 S   0.0   0.1   0:00.00 sudo
 182318 root      20   0  230104   3856   3372 S   0.0   0.4   0:00.00 su
 182319 root      20   0  224152   4708   3240 S   0.0   0.5   0:00.03 bash
 182377 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-cgroup_free
 182398 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:3-cgroup_release
 182464 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-mm_percpu_wq
